text,clean_text,sentiment,intent,topic
@VirginAmerica What @dhepburn said.,What said.,Positive,Information,Feedback
@VirginAmerica plus you've added commercials to the experience... tacky.,plus youve added commercials to the experience... tacky.,Negative,Promotions,Complaints
@VirginAmerica I didn't today... Must mean I need to take another trip!,I didnt today... Must mean I need to take another trip!,Negative,Reschedule,Flight Reschedule
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,Negative,Change,Complaints
@VirginAmerica and it's a really big bad thing about it,and its a really big bad thing about it,Negative,Complaint,Feedback
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",seriously would pay 30 a flight for seats that didnt have this playing. its really the only bad thing about flying VA,Negative,Seating,Flight Seating
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)","yes, nearly every time I fly VX this ear worm wont go away",Negative,Complaint,Complaints
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP","Really missed a prime opportunity for Men Without Hats parody, there.",Negative,Feedback,Feedback
"@virginamerica Well, I didn't…but NOW I DO! :-D","Well, I didntbut NOW I DO! D",Positive,Change,Feedback
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.","it was amazing, and arrived an hour early. Youre too good to me.",Positive,Amenities,Feedback
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,did you know that suicide is the second leading cause of death among teens 1024,Negative,Information,Feedback
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,I lt3 pretty graphics. so much better than minimal iconography. D,Positive,Change,Suggestions
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,This is such a great deal! Already thinking about my 2nd trip to amp I havent even gone on my 1st trip yet! p,Positive,Discounts,Feedback
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,Im flying your skies again! U take all the away from travel,Positive,Change,Flight Status
@VirginAmerica Thanks!,Thanks!,Positive,Feedback,Feedback
@VirginAmerica SFO-PDX schedule is still MIA.,SFOPDX schedule is still MIA.,Negative,Change,Flight Reschedule
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,So excited for my first cross country flight LAX to MCO Ive heard nothing but great things about Virgin America.,Positive,Change,Flight Loyalty Programs
@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,I flew from NYC to SFO last week and couldnt fully sit in my seat due to two large gentleman on either side of me. HELP!,Negative,Seating,Flight Seating
I ❤️ flying @VirginAmerica. ☺️👍,I flying .,Positive,Change,Flight Status
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,you know what would be amazingly awesome? BOSFLL PLEASE!!!!!!! I want to fly with only you.,Positive,Boarding,Flight Seating
@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,why are your first fares in May over three times more than other carriers when all seats are available to select???,Negative,Inquiry,Flight Seating
@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,I love this graphic.,Positive,Change,Feedback
@VirginAmerica I love the hipster innovation. You are a feel good brand.,I love the hipster innovation. You are a feel good brand.,Positive,Change,Feedback
@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,will you be making BOSgtLAS non stop permanently anytime soon?,Positive,Change,Flight Loyalty Programs
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... I want free internet,Negative,Seating,Complaints
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,status match program. I applied and its been three weeks. Called and emailed with no response.,Negative,Inquiry,General Inquiry
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,What happened 2 ur vegan food options?! At least say on ur site so i know I wont be able 2 eat anything for next 6 hrs,Negative,Complaint,Complaints
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,do you miss me? Dont worry well be together very soon.,Positive,Check-in,Feedback
